,classifier_name,domain,accuracy
0,Coverage,DEVICE,0.5555555555555556
1,Coverage,ECG,0.2857142857142857
2,Coverage,EOG,0.5
3,Coverage,EPG,1.0
4,Coverage,HEMODYNAMICS,0.0
5,Coverage,IMAGE,0.1935483870967742
6,Coverage,MOTION,0.17647058823529413
7,Coverage,SENSOR,0.47058823529411764
8,Coverage,SIMULATED,0.2222222222222222
9,Coverage,SOUND,1.0
10,Coverage,SPECTRO,0.7272727272727273
11,Coverage,SPECTRUM,0.0
12,Coverage,TRAFFIC,0.0
13,Full Assembly,DEVICE,0.798225748536565
14,Full Assembly,ECG,0.9119788606707768
15,Full Assembly,EOG,0.5345303867403315
16,Full Assembly,EPG,1.0
17,Full Assembly,HEMODYNAMICS,0.375
18,Full Assembly,IMAGE,0.8145023325157009
19,Full Assembly,MOTION,0.7935893688768243
20,Full Assembly,SENSOR,0.8829491047719108
21,Full Assembly,SIMULATED,0.9538330075811419
22,Full Assembly,SOUND,0.3850210970464135
23,Full Assembly,SPECTRO,0.8287937807937809
24,Full Assembly,SPECTRUM,0.78
25,Full Assembly,TRAFFIC,0.9766763848396501
26,H-InceptionTime,DEVICE,0.794191519535426
27,H-InceptionTime,ECG,0.9440911016377365
28,H-InceptionTime,EOG,0.5441988950276245
29,H-InceptionTime,EPG,0.957831325301205
30,H-InceptionTime,HEMODYNAMICS,0.8429487179487181
31,H-InceptionTime,IMAGE,0.848247502140591
32,H-InceptionTime,MOTION,0.8515083981597941
33,H-InceptionTime,SENSOR,0.8929499630629194
34,H-InceptionTime,SIMULATED,0.9778775393864012
35,H-InceptionTime,SOUND,0.338080168776371
36,H-InceptionTime,SPECTRO,0.7945681265681266
37,H-InceptionTime,SPECTRUM,0.84
38,H-InceptionTime,TRAFFIC,0.979591836734694
